"Date","Price","Open","High","Low","Vol.","Change"
"Feb 25, 2015","990.68","996.06","996.06","988.50","-","-0.19%"
"Feb 24, 2015","992.58","986.69","992.58","983.50","-","0.42%"
"Feb 23, 2015","988.42","994.66","996.77","983.33","-","0.07%"
"Feb 20, 2015","987.69","987.51","988.77","984.09","-","0.31%"
"Feb 19, 2015","984.61","979.40","985.69","979.16","-","0.76%"
"Feb 18, 2015","977.23","971.32","977.73","970.73","-","1.46%"
"Feb 17, 2015","963.20","961.23","964.58","957.90","-","0.01%"
"Feb 16, 2015","963.08","962.68","965.57","959.62","-","0.80%"
"Feb 13, 2015","955.40","954.09","957.58","953.41","-","0.13%"
"Feb 12, 2015","954.20","952.36","956.90","951.63","-","1.58%"
"Feb 10, 2015","939.32","937.04","939.32","933.15","-","0.25%"
"Feb 09, 2015","936.97","939.88","940.52","932.23","-","0.64%"
"Feb 06, 2015","931.03","934.35","935.04","929.47","-","0.55%"
"Feb 05, 2015","925.92","930.08","931.51","922.42","-","-0.42%"
"Feb 04, 2015","929.81","922.28","935.47","921.82","-","2.02%"
"Feb 03, 2015","911.41","926.36","926.36","908.25","-","-1.09%"
"Feb 02, 2015","921.41","915.74","923.07","912.17","-","-0.31%"
"Jan 30, 2015","924.32","933.30","934.88","924.32","-","-0.11%"
"Jan 29, 2015","925.34","930.57","932.50","923.75","-","-1.35%"
"Jan 28, 2015","937.97","930.20","940.31","930.07","-","-0.01%"
"Jan 27, 2015","938.02","931.12","938.02","930.29","-","1.68%"
"Jan 26, 2015","922.54","913.88","922.67","913.82","-","-0.20%"
"Jan 23, 2015","924.35","923.65","924.86","921.05","-","1.14%"
"Jan 22, 2015","913.91","913.36","915.35","907.95","-","0.09%"
"Jan 21, 2015","913.08","914.81","915.16","907.05","-","-0.50%"
"Jan 20, 2015","917.67","903.65","917.67","903.33","-","1.93%"
"Jan 19, 2015","900.29","901.18","903.11","895.77","-","0.56%"
"Jan 16, 2015","895.31","887.31","895.31","881.69","-","-0.75%"
"Jan 15, 2015","902.08","894.05","904.43","891.78","-","1.24%"
"Jan 14, 2015","891.01","897.59","900.01","890.20","-","-1.29%"
"Jan 13, 2015","902.68","896.40","902.68","888.32","-","-0.54%"
"Jan 09, 2015","907.60","910.00","910.54","903.78","-","0.44%"
"Jan 08, 2015","903.61","903.34","908.17","900.59","-","1.24%"
"Jan 07, 2015","892.52","888.96","898.09","888.15","-","-0.05%"
"Jan 06, 2015","893.00","903.54","903.66","893.00","-","-2.87%"
"Jan 05, 2015","919.36","919.83","925.78","910.99","-","-0.67%"
"Dec 30, 2014","925.57","937.34","937.34","925.57","-","-1.34%"
"Dec 29, 2014","938.16","944.60","944.76","928.66","-","-0.27%"
"Dec 26, 2014","940.73","936.97","941.78","936.97","-","0.26%"
"Dec 25, 2014","938.25","938.51","939.71","936.78","-","-0.27%"
"Dec 24, 2014","940.80","942.64","943.57","939.41","-","0.94%"
"Dec 22, 2014","932.07","933.92","935.14","928.54","-","0.31%"
"Dec 19, 2014","929.17","919.82","929.45","919.01","-","2.79%"
"Dec 18, 2014","903.93","907.26","914.92","903.06","-","1.60%"
"Dec 17, 2014","889.68","887.36","896.64","886.51","-","-0.21%"
"Dec 16, 2014","891.52","898.67","899.98","889.79","-","-1.95%"
"Dec 15, 2014","909.28","911.35","917.18","907.29","-","-1.59%"
"Dec 12, 2014","923.96","921.72","933.72","920.20","-","0.17%"
"Dec 11, 2014","922.43","916.52","924.32","909.96","-","-0.82%"
"Dec 10, 2014","930.01","941.49","943.87","924.90","-","-2.17%"
"Dec 09, 2014","950.61","951.74","954.21","948.32","-","-0.83%"
"Dec 08, 2014","958.60","963.27","963.27","955.14","-","0.11%"
"Dec 05, 2014","957.58","953.12","957.62","949.12","-","0.46%"
"Dec 04, 2014","953.23","953.57","954.71","950.49","-","0.84%"
"Dec 03, 2014","945.30","950.09","953.45","943.73","-","0.06%"
"Dec 02, 2014","944.74","936.67","945.94","936.17","-","0.34%"
"Dec 01, 2014","941.55","937.41","945.82","937.15","-","0.72%"
"Nov 28, 2014","934.78","925.99","934.78","925.57","-","1.37%"
"Nov 27, 2014","922.12","927.74","929.70","921.33","-","-1.09%"
"Nov 26, 2014","932.26","932.00","935.18","930.26","-","-0.25%"
"Nov 25, 2014","934.55","935.74","936.42","931.59","-","0.75%"
"Nov 21, 2014","927.56","927.12","928.47","917.09","-","0.07%"
"Nov 20, 2014","926.93","931.64","932.13","925.81","-","0.08%"
"Nov 19, 2014","926.20","928.38","934.11","924.31","-","0.15%"
"Nov 18, 2014","924.83","918.32","925.54","918.22","-","2.03%"
"Nov 17, 2014","906.44","923.70","924.47","904.15","-","-2.27%"
"Nov 14, 2014","927.53","928.59","928.59","917.49","-","0.70%"
"Nov 13, 2014","921.08","912.55","921.61","908.04","-","0.92%"
"Nov 12, 2014","912.68","917.86","924.08","911.93","-","0.20%"
"Nov 11, 2014","910.86","903.92","913.67","902.46","-","1.24%"
"Nov 10, 2014","899.73","897.35","900.95","895.60","-","-0.37%"
"Nov 07, 2014","903.05","906.21","907.16","901.74","-","0.47%"
"Nov 06, 2014","898.83","910.71","913.52","897.08","-","-1.02%"
"Nov 05, 2014","908.08","903.40","909.62","900.92","-","0.07%"
"Nov 04, 2014","907.49","897.71","924.71","897.52","-","3.05%"
"Oct 31, 2014","880.59","850.46","884.42","850.46","-","4.65%"
"Oct 30, 2014","841.48","837.63","844.06","837.11","-","0.76%"
"Oct 29, 2014","835.11","829.57","836.93","827.36","-","1.43%"
"Oct 28, 2014","823.36","823.91","825.71","819.03","-","-0.22%"
"Oct 27, 2014","825.15","824.30","826.96","821.02","-","0.86%"
"Oct 24, 2014","818.09","822.07","824.42","816.27","-","0.87%"
"Oct 23, 2014","811.07","808.78","814.96","805.11","-","-0.33%"
"Oct 22, 2014","813.74","806.85","814.03","804.69","-","2.39%"
"Oct 21, 2014","794.74","809.82","809.82","791.94","-","-1.55%"
"Oct 20, 2014","807.25","791.16","809.50","791.02","-","4.08%"
"Oct 17, 2014","775.57","789.39","790.52","775.57","-","-1.59%"
"Oct 16, 2014","788.07","791.89","792.19","784.51","-","-2.23%"
"Oct 15, 2014","806.01","803.41","807.16","798.65","-","0.69%"
"Oct 14, 2014","800.52","806.11","807.59","798.93","-","-2.42%"
"Oct 10, 2014","820.37","818.06","821.17","815.94","-","-1.34%"
"Oct 09, 2014","831.51","842.38","845.34","830.76","-","-0.88%"
"Oct 08, 2014","838.90","838.17","841.47","834.08","-","-1.26%"
"Oct 07, 2014","849.64","852.16","858.40","848.19","-","-0.23%"
"Oct 06, 2014","851.61","853.67","857.10","849.77","-","1.07%"
"Oct 03, 2014","842.63","839.49","843.84","836.46","-","0.00%"
"Oct 02, 2014","842.62","857.07","857.07","841.34","-","-2.88%"
"Oct 01, 2014","867.65","871.28","874.73","867.61","-","-0.52%"
"Sep 30, 2014","872.18","877.21","877.21","863.88","-","-0.84%"
"Sep 29, 2014","879.60","881.51","881.51","877.56","-","0.38%"
"Sep 26, 2014","876.27","869.81","876.71","869.81","-","-1.16%"
"Sep 25, 2014","886.54","880.19","886.54","879.72","-","1.55%"
"Sep 24, 2014","872.99","871.41","875.11","869.91","-","-0.56%"
"Sep 22, 2014","877.89","879.69","881.17","874.79","-","-0.07%"
"Sep 19, 2014","878.54","873.81","881.51","872.83","-","1.10%"
"Sep 18, 2014","869.01","867.71","871.15","867.14","-","1.12%"
"Sep 17, 2014","859.40","864.02","865.52","859.40","-","-0.43%"
"Sep 16, 2014","863.12","863.35","864.61","861.31","-","-0.26%"
"Sep 12, 2014","865.35","862.79","866.86","861.99","-","0.32%"
"Sep 11, 2014","862.56","862.92","863.86","860.85","-","0.52%"
"Sep 10, 2014","858.07","851.29","858.18","851.12","-","0.59%"
"Sep 09, 2014","853.01","855.85","855.93","852.73","-","0.24%"
"Sep 08, 2014","850.97","850.29","851.12","847.61","-","0.43%"
"Sep 05, 2014","847.36","853.80","853.80","845.88","-","-0.24%"
